timer,temperature
945,5.031189
946,4.908478
947,5.031189
948,5.031189
949,4.908478
950,5.153687
951,5.031189
952,5.031189
953,4.908478
954,5.031189
955,5.031189
956,5.153687
957,4.908478
958,5.031189
959,4.908478
960,5.031189
961,5.031189
962,4.908478
963,5.031189
964,5.031189
965,5.153687
966,5.031189
967,5.031189
968,5.031189
969,5.031189
970,5.031189
971,4.834747
972,4.834747
973,5.031189
974,4.908478
975,5.031189
976,4.834747
977,5.031189
978,4.908478
979,4.686981
980,4.908478
981,4.908478
982,5.031189
983,4.908478
984,4.760895
985,5.031189
986,4.908478
987,4.760895
988,4.834747
989,4.834747
990,4.908478
991,4.834747
992,4.760895
993,4.834747
994,4.908478
995,4.834747
996,4.908478
997,4.908478
998,4.908478
999,4.908478
